148, 1 12000.0 40.0 37 127;
149, 1 12000.0 40.0 42 87;
150, 1 12120.0 40.0 42 39;
151, 1 12240.0 40.0 35 95;
152, 1 12240.0 40.0 42 71;
153, 1 12360.0 40.0 42 39;
154, 1 12480.0 40.0 35 127;
155, 1 12480.0 40.0 42 103;
156, 1 12600.0 40.0 42 39;
157, 1 12720.0 40.0 42 71;
158, 1 12840.0 40.0 62 64;
159, 1 12840.0 40.0 42 39;
160, 1 12960.0 40.0 62 127;
161, 1 12960.0 40.0 37 127;
162, 1 12960.0 40.0 42 87;
163, 1 13080.0 40.0 42 39;
164, 1 13200.0 40.0 42 71;
165, 1 13320.0 40.0 46 55;
166, 1 13440.0 40.0 35 127;
167, 1 13440.0 40.0 42 96;
168, 1 13560.0 40.0 42 39;
169, 1 13680.0 40.0 42 71;
170, 1 13800.0 40.0 46 55;
171, 1 13920.0 40.0 55 63;
172, 1 13920.0 40.0 40 111;
173, 1 13920.0 40.0 42 87;
174, 1 14040.0 40.0 44 80;
175, 1 14160.0 40.0 44 100;
176, 1 14280.0 40.0 40 47;
177, 1 14400.0 40.0 46 71;
178, 1 14400.0 40.0 35 127;
179, 1 14500.0 0 48 39;
180, 1 14520.0 40.0 48 95;
181, 1 14640.0 40.0 47 55;
182, 1 14760.0 40.0 35 119;
183, 1 14880.0 40.0 45 87;
184, 1 15000.0 40.0 43 55;
185, 1 15120.0 40.0 41 79;
186, 1 15240.0 40.0 35 119;
187, 1 15340.0 40.0 57 71;
188, 1 15360.0 40.0 35 127;
189, 1 15360.0 40.0 42 103;
190, 1 15480.0 40.0 42 39;
191, 1 15600.0 40.0 42 71;
192, 1 15720.0 40.0 35 111;
193, 1 15720.0 40.0 42 39;
194, 1 15840.0 40.0 40 127;
195, 1 15840.0 40.0 42 87;
196, 1 15960.0 40.0 42 39;
197, 1 16080.0 40.0 35 111;
198, 1 16080.0 40.0 42 71;
199, 1 16200.0 40.0 42 39;
200, 1 16320.0 40.0 35 127;
201, 1 16320.0 40.0 42 103;
202, 1 16440.0 40.0 42 39;
203, 1 16560.0 40.0 42 71;
204, 1 16680.0 40.0 42 39;
205, 1 16800.0 40.0 40 127;
206, 1 16800.0 40.0 42 87;
207, 1 16820.0 40.0 41 87;
208, 1 16920.0 40.0 42 39;
209, 1 17040.0 40.0 42 71;
210, 1 17160.0 40.0 40 81;
211, 1 17160.0 40.0 46 63;
212, 1 17280.0 40.0 35 127;
213, 1 17280.0 40.0 42 103;
214, 1 17400.0 40.0 42 39;
215, 1 17520.0 40.0 42 71;
216, 1 17640.0 40.0 69 55;
217, 1 17640.0 40.0 42 39;
218, 1 17760.0 40.0 40 127;
219, 1 17760.0 40.0 42 87;
220, 1 17880.0 40.0 42 39;
221, 1 18000.0 40.0 69 71;
222, 1 18000.0 40.0 35 127;
223, 1 18000.0 40.0 42 71;
224, 1 18120.0 40.0 42 39;
225, 1 18240.0 40.0 35 127;
226, 1 18240.0 40.0 42 103;
227, 1 18360.0 40.0 35 127;
228, 1 18360.0 40.0 42 39;
229, 1 18480.0 40.0 42 71;
230, 1 18600.0 40.0 46 47;
231, 1 18720.0 40.0 75 127;
232, 1 18720.0 40.0 40 127;
233, 1 18720.0 40.0 42 87;
234, 1 18840.0 40.0 42 39;
235, 1 18960.0 40.0 42 71;
236, 1 19080.0 40.0 40 71;
237, 1 19080.0 40.0 42 39;
238, 1 19200.0 40.0 35 127;
239, 1 19200.0 40.0 42 103;
240, 1 19320.0 40.0 42 39;
241, 1 19440.0 40.0 42 71;
242, 1 19560.0 40.0 35 111;
243, 1 19560.0 40.0 42 39;
244, 1 19680.0 40.0 40 127;
245, 1 19680.0 40.0 42 87;
246, 1 19800.0 40.0 42 39;
247, 1 19920.0 40.0 35 111;
248, 1 19920.0 40.0 42 71;
249, 1 20040.0 40.0 42 39;
250, 1 20160.0 40.0 35 127;
251, 1 20160.0 40.0 42 103;
252, 1 20280.0 40.0 42 39;
253, 1 20400.0 40.0 42 71;
254, 1 20520.0 40.0 42 39;
255, 1 20640.0 40.0 40 127;
256, 1 20640.0 40.0 42 87;
257, 1 20660.0 40.0 41 87;
258, 1 20760.0 40.0 42 39;
259, 1 20880.0 40.0 42 71;
260, 1 21000.0 40.0 40 81;
261, 1 21000.0 40.0 46 63;
262, 1 21120.0 40.0 35 127;
263, 1 21120.0 40.0 42 103;
264, 1 21240.0 40.0 42 39;
265, 1 21360.0 40.0 42 71;
266, 1 21480.0 40.0 69 55;
267, 1 21480.0 40.0 42 39;
268, 1 21600.0 40.0 40 127;
269, 1 21600.0 40.0 42 87;
270, 1 21720.0 40.0 42 39;
271, 1 21840.0 40.0 69 71;
272, 1 21840.0 40.0 35 127;
273, 1 21840.0 40.0 42 71;
274, 1 21960.0 40.0 42 39;
275, 1 22080.0 40.0 35 127;
276, 1 22080.0 40.0 42 103;
277, 1 22080.0 40.0 49 87;
278, 1 22200.0 40.0 50 95;
279, 1 22320.0 40.0 48 95;
280, 1 22420.0 40.0 45 39;
281, 1 22440.0 40.0 43 95;
282, 1 22640.0 40.0 45 39;
283, 1 22680.0 40.0 45 95;
284, 1 22800.0 40.0 43 79;
285, 1 22920.0 40.0 41 87;
286, 1 23020.0 40.0 55 87;
287, 1 23040.0 40.0 35 127;
288, 1 23040.0 40.0 42 103;
289, 1 23160.0 40.0 42 39;
290, 1 23280.0 40.0 42 71;
291, 1 23400.0 40.0 35 111;
292, 1 23400.0 40.0 42 39;
293, 1 23520.0 40.0 40 127;
294, 1 23520.0 40.0 42 87;
295, 1 23640.0 40.0 42 39;
296, 1 23760.0 40.0 35 111;
297, 1 23760.0 40.0 42 71;
298, 1 23880.0 40.0 42 39;
299, 1 24000.0 40.0 35 127;
300, 1 24000.0 40.0 42 103;
301, 1 24120.0 40.0 42 39;
302, 1 24240.0 40.0 42 71;
303, 1 24360.0 40.0 42 39;
304, 1 24480.0 40.0 40 127;
305, 1 24480.0 40.0 42 87;
306, 1 24500.0 40.0 41 87;
307, 1 24600.0 40.0 42 39;
308, 1 24720.0 40.0 42 71;
309, 1 24840.0 40.0 40 81;
310, 1 24840.0 40.0 46 63;
311, 1 24960.0 40.0 35 127;
312, 1 24960.0 40.0 42 103;
313, 1 25080.0 40.0 42 39;
314, 1 25200.0 40.0 42 71;
315, 1 25320.0 40.0 69 55;
316, 1 25320.0 40.0 42 39;
317, 1 25440.0 40.0 40 127;
318, 1 25440.0 40.0 42 87;
319, 1 25560.0 40.0 42 39;
320, 1 25680.0 40.0 69 71;
321, 1 25680.0 40.0 35 127;
322, 1 25680.0 40.0 42 71;
323, 1 25800.0 40.0 42 39;
324, 1 25920.0 40.0 35 127;
325, 1 25920.0 40.0 42 103;
326, 1 26040.0 40.0 35 127;
327, 1 26040.0 40.0 42 39;
328, 1 26160.0 40.0 42 71;
329, 1 26280.0 40.0 46 47;
330, 1 26400.0 40.0 75 127;
331, 1 26400.0 40.0 40 127;
332, 1 26400.0 40.0 42 87;
333, 1 26520.0 40.0 42 39;
334, 1 26640.0 40.0 42 71;
335, 1 26760.0 40.0 40 71;
336, 1 26760.0 40.0 42 39;
337, 1 26880.0 40.0 35 127;
338, 1 26880.0 40.0 42 103;
339, 1 27000.0 40.0 42 39;
340, 1 27120.0 40.0 42 71;
341, 1 27240.0 40.0 35 111;
342, 1 27240.0 40.0 42 39;
343, 1 27360.0 40.0 40 127;
344, 1 27360.0 40.0 42 87;
345, 1 27480.0 40.0 42 39;
346, 1 27600.0 40.0 35 111;
347, 1 27600.0 40.0 42 71;
348, 1 27720.0 40.0 42 39;
349, 1 27840.0 40.0 35 127;
350, 1 27840.0 40.0 42 103;
351, 1 27960.0 40.0 42 39;
352, 1 28080.0 40.0 42 71;
353, 1 28200.0 40.0 42 39;
354, 1 28320.0 40.0 40 127;
355, 1 28320.0 40.0 42 87;
356, 1 28340.0 40.0 41 87;
357, 1 28440.0 40.0 42 39;
358, 1 28560.0 40.0 42 71;
359, 1 28680.0 40.0 40 81;
360, 1 28680.0 40.0 46 63;
361, 1 28800.0 40.0 35 127;
362, 1 28800.0 40.0 42 103;
363, 1 28920.0 40.0 42 39;
364, 1 29040.0 40.0 42 71;
365, 1 29160.0 40.0 35 111;
366, 1 29160.0 40.0 42 39;
367, 1 29280.0 40.0 40 127;
368, 1 29280.0 40.0 42 87;
369, 1 29400.0 40.0 51 39;
370, 1 29400.0 40.0 42 39;
371, 1 29520.0 40.0 59 63;
372, 1 29520.0 40.0 35 111;
373, 1 29520.0 40.0 42 71;
374, 1 29640.0 40.0 42 39;
375, 1 29760.0 40.0 35 127;
376, 1 29760.0 40.0 42 103;
377, 1 29760.0 40.0 49 87;
378, 1 29880.0 40.0 50 95;
379, 1 30000.0 40.0 48 95;
380, 1 30100.0 40.0 45 39;
381, 1 30120.0 40.0 43 95;
382, 1 30320.0 40.0 45 39;
383, 1 30360.0 40.0 45 95;
384, 1 30480.0 40.0 43 79;
385, 1 30600.0 40.0 41 87;
386, 1 30700.0 40.0 55 87;
387, 1 30720.0 40.0 35 127;
388, 1 30720.0 40.0 42 96;
389, 1 30840.0 40.0 42 39;
